frame,x,y,glove_height_peak_leg_lift,cap_height,glove_to_person_top
0,856.0,516.0,,,501.0
1,,,,,501.0
2,856.0,516.0,,,500.0
3,,,,,499.0
4,855.0,516.0,,,496.0
5,,,,,496.0
6,855.0,516.0,,,492.0
7,,,,,493.0
8,853.0,519.0,,,495.0
9,,,,,495.0
10,853.0,519.0,,,490.0
11,,,,,490.0
12,854.0,525.0,,,496.0
13,,,,,496.0
14,854.0,524.0,,,488.0
15,,,,,488.0
16,869.0,527.0,,,496.0
17,,,,,496.0
18,869.0,527.0,,,504.0
19,,,,,504.0
20,892.0,530.0,,,505.0
21,,,,,505.0
22,892.0,530.0,,,504.0
23,,,,,504.0
24,900.0,531.0,,,209.0
25,,,,,
26,900.0,531.0,,,
27,,,,,
28,905.0,532.0,,,
29,,,,,
30,905.0,532.0,,,
31,,,,,
32,909.0,531.0,,,
33,,,,,
34,909.0,531.0,,,203.0
35,,,,,137.0
36,908.0,530.0,,,137.0
37,,,,,99.0
38,909.0,530.0,,,92.0
39,,,,,61.0
40,906.0,530.0,,,62.0
41,,,,,58.0
42,906.0,530.0,,,58.0
43,,,,,65.0
44,897.0,529.0,,,65.0
45,,,,,91.0
46,897.0,529.0,,,91.0
47,,,,,139.0
48,889.0,530.0,,,138.0
49,,,,,157.0
50,887.0,528.0,,,157.0
51,,,,,180.0
52,870.0,526.0,,,194.0
53,,,,,221.0
54,870.0,526.0,,,221.0
55,,,,,
56,846.0,524.0,,,
57,,,,,
58,846.0,524.0,,,
59,,,,,
60,832.0,521.0,,,
61,,,,,
62,832.0,521.0,,,121.0
63,,,,,
64,831.0,516.0,,,
65,,,,,189.0
66,831.0,516.0,,,190.0
67,,,,,
68,833.0,515.0,,,
69,,,,,
70,814.0,517.0,,,316.0
71,,,,,316.0
72,814.0,517.0,,,
73,,,,,
74,808.0,518.0,,,
75,,,,,
76,779.0,518.0,,,
77,,,,,
78,730.0,519.0,,,
79,,,,,
80,730.0,519.0,,,
81,,,,,
82,737.0,516.0,,,
83,,,,,
84,737.0,516.0,,,
85,,,,,
86,769.0,520.0,,,
87,,,,,
88,769.0,520.0,,,
89,,,,,
90,786.0,531.0,,,
91,,,,,
92,786.0,531.0,,,
93,,,,,
94,784.0,540.0,,,
95,,,,,
96,784.0,540.0,,,
97,,,,,
98,786.0,557.0,,,
99,,,,,
100,786.0,557.0,,,
101,,,,,
102,788.0,566.0,,,
103,,,,,
104,784.0,577.0,,,
105,,,,,
106,789.0,608.0,,,
107,,,,,
108,789.0,608.0,,,
109,,,,,
110,718.0,634.0,,,
111,,,,,
112,718.0,634.0,,,
113,,,,,
114,718.0,634.0,,,
115,,,,,
116,679.0,660.0,,,
117,,,,,
118,680.0,660.0,,,
119,,,,,
120,649.0,705.0,,,
121,,,,,
122,649.0,705.0,,,
123,,,,,
124,649.0,705.0,,,
125,,,,,
126,1227.0,419.0,,,
127,,,,,
128,1226.5,419.5,,,
129,,,,,
130,1226.5,419.5,,,
131,,,,,
132,1226.5,419.5,,,
133,,,,,
134,1226.5,419.5,,,
135,,,,,
136,1066.5,576.5,,,
137,,,,,
138,1072.0,621.5,,,
139,,,,,
140,1072.0,621.5,,,
141,,,,,
142,1072.0,621.5,,,
143,,,,,
144,1072.0,621.5,,,
145,,,,,
146,1072.0,621.5,,,
147,,,,,
148,1072.0,621.5,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
