frame,x,y
0,5,408
1,5,409
2,5,408
3,5,408
4,5,408
5,5,408
6,5,408
7,5,408
8,5,408
9,5,409
10,5,409
11,5,410
12,5,408
13,5,409
14,5,408
15,5,409
16,5,409
17,5,408
18,5,408
19,5,407
20,5,407
21,5,408
22,5,408
23,5,408
24,5,409
25,5,408
26,5,408
27,5,408
28,5,409
29,5,408
30,5,408
31,5,408
32,5,408
33,5,408
34,5,408
35,5,408
36,5,408
37,5,407
38,5,407
39,5,407
40,5,408
41,5,408
42,5,408
43,5,408
44,5,407
45,5,407
46,5,407
47,5,407
48,5,407
49,5,407
50,5,407
51,5,407
52,5,407
53,5,407
54,5,408
55,5,408
56,5,408
57,5,408
58,5,408
59,5,408
60,5,408
61,5,408
62,5,408
63,5,408
64,5,407
65,5,407
66,5,407
67,5,408
68,5,408
69,5,408
70,5,408
71,5,408
72,5,408
73,5,408
74,5,408
75,5,408
76,5,408
77,6,408
78,419,140
79,5,408
80,6,408
81,6,409
82,0,421
83,0,433
84,0,445
85,0,457
86,0,469
87,0,481
88,0,493
89,0,505
90,0,517
91,0,529
92,0,541
93,0,553
94,0,565
95,0,577
96,0,589
