frame,x,y
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,1226.0,419.0
65,1231.0,367.0
66,1231.0,367.0
67,1231.0,367.0
68,1231.0,367.0
69,1231.0,367.0
70,1231.0,367.0
71,1231.0,367.0
72,1231.0,365.0
73,1231.0,363.0
74,1231.0,361.0
75,1231.0,359.0
76,1231.0,357.0
77,1231.0,355.0
78,1231.0,353.0
79,1231.0,351.0
80,1231.0,349.0
81,1231.0,347.0
82,1231.0,345.0
83,1231.0,343.0
84,1231.0,341.0
85,1231.0,339.0
86,1231.0,337.0
87,1231.0,335.0
88,1231.0,333.0
89,1231.0,331.0
90,1231.0,329.0
91,1231.0,327.0
92,1231.0,325.0
93,1231.0,323.0
94,1231.0,321.0
95,1231.0,319.0
96,1231.0,317.0
97,1231.0,315.0
98,1231.0,313.0
99,1231.0,311.0
100,1231.0,309.0
101,1231.0,307.0
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
