frame,x,y
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,464.0,143.0
66,423.0,86.0
67,423.0,86.0
68,414.0,74.0
69,405.0,62.0
70,396.0,50.0
71,387.0,38.0
72,378.0,26.0
73,369.0,14.0
74,360.0,2.0
75,351.0,0.0
76,342.0,0.0
77,333.0,0.0
78,324.0,0.0
79,315.0,0.0
80,306.0,0.0
81,297.0,0.0
82,288.0,0.0
83,279.0,0.0
84,270.0,0.0
85,261.0,0.0
86,252.0,0.0
87,243.0,0.0
88,234.0,0.0
89,225.0,0.0
90,216.0,0.0
91,207.0,0.0
92,198.0,0.0
93,189.0,0.0
94,180.0,0.0
95,171.0,0.0
96,162.0,0.0
97,153.0,0.0
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
