frame,x,y,glove_height_peak_leg_lift,cap_height,glove_to_person_top
0,,,,,507.0
1,,,,,507.0
2,,,,,506.0
3,,,,,506.0
4,,,,,507.0
5,,,,,507.0
6,,,,,506.0
7,,,,,506.0
8,,,,,507.0
9,,,,,506.0
10,,,,,506.0
11,,,,,506.0
12,,,,,506.0
13,,,,,507.0
14,,,,,508.0
15,,,,,508.0
16,,,,,508.0
17,,,,,506.0
18,,,,,507.0
19,,,,,507.0
20,,,,,507.0
21,,,,,507.0
22,,,,,502.0
23,,,,,502.0
24,,,,,502.0
25,,,,,502.0
26,,,,,502.0
27,,,,,502.0
28,,,,,501.0
29,,,,,501.0
30,,,,,501.0
31,,,,,501.0
32,,,,,498.0
33,,,,,499.0
34,,,,,498.0
35,,,,,500.0
36,,,,,500.0
37,,,,,500.0
38,,,,,500.0
39,,,,,500.0
40,,,,,502.0
41,,,,,501.0
42,,,,,502.0
43,,,,,502.0
44,,,,,501.0
45,,,,,501.0
46,,,,,501.0
47,,,,,501.0
48,,,,,501.0
49,,,,,502.0
50,,,,,502.0
51,,,,,502.0
52,,,,,502.0
53,,,,,502.0
54,,,,,502.0
55,,,,,502.0
56,,,,,502.0
57,,,,,501.0
58,,,,,501.0
59,,,,,500.0
60,,,,,500.0
61,,,,,500.0
62,,,,,500.0
63,,,,,500.0
64,,,,,500.0
65,,,,,500.0
66,,,,,500.0
67,,,,,500.0
68,,,,,500.0
69,,,,,500.0
70,,,,,500.0
71,,,,,500.0
72,,,,,500.0
73,,,,,499.0
74,,,,,500.0
75,,,,,500.0
76,,,,,499.0
77,,,,,499.0
78,,,,,499.0
79,,,,,498.0
80,,,,,498.0
81,,,,,499.0
82,,,,,500.0
83,,,,,500.0
84,,,,,501.0
85,,,,,500.0
86,,,,,500.0
87,,,,,500.0
88,,,,,500.0
89,,,,,500.0
90,,,,,499.0
91,,,,,499.0
92,,,,,501.0
93,,,,,496.0
94,,,,,498.0
95,,,,,497.0
96,,,,,496.0
97,,,,,497.0
98,,,,,491.0
99,,,,,490.0
100,,,,,491.0
101,,,,,490.0
102,,,,,489.0
103,,,,,492.0
104,,,,,491.0
105,,,,,493.0
106,,,,,496.0
107,,,,,495.0
108,,,,,496.0
109,,,,,483.0
110,,,,,496.0
111,,,,,493.0
112,,,,,493.0
113,,,,,145.0
114,,,,,
115,,,,,
116,,,,,
117,,,,,76.0
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,212.0
123,,,,,167.0
124,,,,,146.0
125,,,,,
126,,,,,120.0
127,,,,,106.0
128,,,,,101.0
129,,,,,102.0
130,,,,,106.0
131,,,,,113.0
132,,,,,129.0
133,,,,,129.0
134,,,,,148.0
135,,,,,163.0
136,,,,,176.0
137,,,,,194.0
138,,,,,336.0
139,,,,,336.0
140,,,,,311.0
141,,,,,
142,,,,,
143,,,,,
144,,,,,122.0
145,,,,,399.0
146,,,,,
147,,,,,
148,,,,,100.0
149,,,,,386.0
150,,,,,239.0
151,,,,,219.0
152,,,,,
153,,,,,
154,,,,,
155,,,,,187.0
156,,,,,332.0
157,,,,,332.0
158,,,,,122.0
159,,,,,279.0
160,,,,,272.0
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
