frame,x,y
0,6,422
1,6,421
2,6,422
3,6,422
4,6,422
5,6,422
6,6,421
7,6,423
8,6,423
9,6,424
10,7,413
11,7,415
12,7,414
13,7,414
14,7,413
15,7,414
16,7,413
17,7,411
18,7,411
19,7,412
20,7,411
21,7,411
22,7,411
23,7,420
24,7,419
25,7,418
26,7,412
27,7,419
28,7,416
29,7,423
30,7,424
31,7,426
32,7,424
33,7,424
34,7,423
35,7,423
36,7,423
37,7,423
38,7,423
39,7,423
40,7,423
41,7,423
42,7,421
43,7,423
44,7,424
45,7,423
46,7,423
47,7,424
48,7,424
49,6,420
50,7,423
51,7,422
52,6,420
53,7,420
54,7,413
55,7,413
56,7,411
57,7,423
58,7,421
59,7,421
60,7,417
61,7,414
62,7,416
63,7,418
64,7,418
65,7,417
66,7,416
67,87,447
68,7,420
69,7,415
70,6,422
71,6,423
72,7,423
73,6,423
74,7,422
75,7,423
76,7,423
77,6,424
78,6,424
79,7,423
80,7,423
81,7,423
82,7,423
83,7,423
84,7,423
85,6,423
86,6,423
87,6,423
88,6,423
89,6,423
90,6,423
91,7,418
92,7,418
93,6,423
94,6,423
95,88,422
96,6,423
97,7,418
98,7,418
99,6,416
100,6,413
101,6,413
102,6,418
103,6,418
104,6,416
105,6,417
106,6,417
107,6,422
108,6,422
109,6,420
110,7,418
111,7,418
112,7,418
113,6,422
114,6,421
115,7,424
116,7,424
117,6,424
118,6,424
119,7,424
120,7,424
121,7,424
122,7,424
123,6,424
124,6,424
125,7,424
126,7,424
127,7,424
128,7,424
129,7,424
130,7,424
131,7,424
132,7,424
133,7,424
134,7,424
135,7,424
136,7,424
137,7,424
138,7,424
139,7,424
140,7,424
141,7,424
142,7,424
143,7,424
144,7,424
145,7,424
146,7,424
147,7,424
148,7,424
149,7,424
150,7,424
151,7,424
152,7,424
153,7,424
154,7,424
155,7,424
156,7,424
