frame,x,y,glove_height_peak_leg_lift,cap_height,glove_to_person_top
0,588.0,508.0,,,498.0
1,,,,,498.0
2,588.0,508.0,,,496.0
3,,,,,494.0
4,586.0,508.0,,,494.0
5,,,,,493.0
6,585.0,508.0,,,491.0
7,,,,,491.0
8,585.0,508.0,,,490.0
9,,,,,491.0
10,585.0,508.0,,,491.0
11,,,,,492.0
12,586.0,508.0,,,493.0
13,,,,,493.0
14,587.0,508.0,,,494.0
15,,,,,494.0
16,587.0,508.0,,,495.0
17,,,,,495.0
18,587.0,507.0,,,496.0
19,,,,,496.0
20,,,,,498.0
21,,,,,503.0
22,,,,,499.0
23,,,,,501.0
24,,,,,501.0
25,,,,,502.0
26,,,,,502.0
27,,,,,501.0
28,,,,,501.0
29,,,,,502.0
30,,,,,495.0
31,,,,,505.0
32,,,,,504.0
33,,,,,505.0
34,591.0,511.0,,,505.0
35,,,,,
36,592.0,511.0,,,
37,,,,,
38,596.0,512.0,,,
39,,,,,
40,600.0,512.0,,,
41,,,,,
42,608.0,514.0,,,
43,,,,,156.0
44,612.0,516.0,,,156.0
45,,,,,175.0
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,35.0
51,,,,,36.0
52,,,,,
53,,,,,
54,,,,,48.0
55,,,,,48.0
56,,,,,79.0
57,,,,,79.0
58,,,,,
59,,,,,
60,782.0,521.0,,,173.0
61,,,,,173.0
62,788.0,521.0,,,211.0
63,,,,,211.0
64,788.0,521.0,,,378.0
65,,,,,377.0
66,796.0,522.0,,,188.0
67,,,,,317.0
68,796.0,522.0,,,304.0
69,,,,,83.0
70,796.0,522.0,,,138.0
71,,,,,167.0
72,796.0,522.0,,,165.0
73,,,,,224.0
74,796.0,522.0,,,224.0
75,,,,,163.0
76,796.0,522.0,,,163.0
77,,,,,235.0
78,796.0,522.0,,,235.0
79,,,,,232.0
80,,,,,233.0
81,,,,,232.0
82,583.0,518.0,,,232.0
83,,,,,
84,583.0,518.0,,,
85,,,,,
86,583.0,518.0,,,
87,,,,,
88,583.0,518.0,,,
89,,,,,
90,587.0,515.0,,,
91,,,,,
92,590.0,514.0,,,
93,,,,,
94,590.0,514.0,,,
95,,,,,
96,590.0,516.0,,,
97,,,,,
98,590.0,516.0,,,
99,,,,,
100,555.0,521.0,,,
101,,,,,
102,555.0,520.0,,,
103,,,,,
104,567.0,519.0,,,
105,,,,,
106,567.0,519.0,,,
107,,,,,
108,583.0,522.0,,,
109,,,,,
110,583.0,522.0,,,
111,,,,,
112,584.0,525.0,,,
113,,,,,
114,584.0,525.0,,,
115,,,,,
116,586.0,535.0,,,
117,,,,,
118,586.0,535.0,,,
119,,,,,
120,584.0,550.0,,,
121,,,,,
122,584.0,550.0,,,
123,,,,,
124,582.0,571.0,,,
125,,,,,
126,582.0,571.0,,,
127,,,,,
128,572.0,606.0,,,
129,,,,,
130,572.0,606.0,,,
131,,,,,
132,558.0,621.0,,,
133,,,,,
134,512.0,645.0,,,
135,,,,,
136,537.0,652.0,,,
137,,,,,
138,536.0,652.0,,,
139,,,,,
140,575.0,659.0,,,
141,,,,,
142,575.0,659.0,,,
143,,,,,
144,575.0,659.0,,,
145,,,,,
146,575.0,659.0,,,
147,,,,,
148,575.0,659.0,,,
149,,,,,
150,575.0,659.0,,,
151,,,,,
152,,,,,
153,,,,,
154,590.0,538.0,,,
155,,,,,
156,590.0,539.0,,,
157,,,,,
158,383.0,153.0,,,
159,,,,,
160,383.0,153.0,,,
161,,,,,
162,362.5,224.5,,,
163,,,,,
164,362.5,224.5,,,
165,,,,,
166,362.5,224.5,,,
167,,,,,
168,362.5,224.5,,,
169,,,,,
170,362.5,224.5,,,
171,,,,,
172,362.5,224.5,,,
173,,,,,
174,362.5,224.5,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
