frame,x,y
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,417.0,178.0
65,413.0,213.0
66,409.0,257.0
67,407.0,278.0
68,405.0,299.0
69,403.0,320.0
70,401.0,341.0
71,399.0,362.0
72,397.0,383.0
73,395.0,404.0
74,393.0,425.0
75,391.0,446.0
76,389.0,467.0
77,387.0,488.0
78,385.0,509.0
79,383.0,530.0
80,381.0,551.0
81,379.0,572.0
82,377.0,593.0
83,375.0,614.0
84,373.0,635.0
85,371.0,656.0
86,369.0,677.0
87,367.0,698.0
88,365.0,719.0
89,363.0,740.0
90,361.0,761.0
91,359.0,782.0
92,357.0,803.0
93,355.0,824.0
94,353.0,845.0
95,351.0,866.0
96,349.0,887.0
97,,
98,,
99,,
100,,
101,,
102,,
103,,
