frame,x,y,glove_height_peak_leg_lift,cap_height,glove_to_person_top
0,764.0,507.0,,,499.0
1,,,,,499.0
2,764.0,507.0,,,491.0
3,,,,,491.0
4,773.0,509.0,,,502.0
5,,,,,501.0
6,773.0,509.0,,,499.0
7,,,,,500.0
8,780.0,510.0,,,506.0
9,,,,,508.0
10,787.0,512.0,,,508.0
11,,,,,509.0
12,787.0,512.0,,,508.0
13,,,,,508.0
14,792.0,512.0,,,504.0
15,,,,,
16,793.0,512.0,,,
17,,,,,140.0
18,796.0,512.0,,,132.0
19,,,,,123.0
20,798.0,512.0,,,
21,,,,,
22,798.0,512.0,,,
23,,,,,4.0
24,797.0,512.0,,,
25,,,,,222.0
26,797.0,512.0,,,222.0
27,,,,,214.0
28,794.0,512.0,,,173.0
29,,,,,138.0
30,791.0,512.0,,,114.0
31,,,,,83.0
32,787.0,513.0,,,64.0
33,,,,,53.0
34,781.0,514.0,,,45.0
35,,,,,43.0
36,775.0,513.0,,,47.0
37,,,,,53.0
38,768.0,514.0,,,62.0
39,,,,,73.0
40,762.0,514.0,,,89.0
41,,,,,103.0
42,756.0,514.0,,,149.0
43,,,,,149.0
44,751.0,513.0,,,166.0
45,,,,,208.0
46,746.0,514.0,,,208.0
47,,,,,220.0
48,743.0,511.0,,,223.0
49,,,,,
50,720.0,505.0,,,
51,,,,,
52,720.0,505.0,,,
53,,,,,
54,720.0,505.0,,,100.0
55,,,,,
56,702.0,510.0,,,
57,,,,,
58,694.0,509.0,,,
59,,,,,
60,689.0,509.0,,,
61,,,,,
62,684.0,511.0,,,
63,,,,,
64,638.0,512.0,,,
65,,,,,
66,607.0,513.0,,,318.0
67,,,,,
68,605.0,514.0,,,
69,,,,,
70,613.0,515.0,,,
71,,,,,
72,627.0,516.0,,,
73,,,,,
74,662.0,517.0,,,
75,,,,,
76,681.0,519.0,,,
77,,,,,
78,676.0,521.0,,,
79,,,,,
80,671.0,523.0,,,
81,,,,,
82,671.0,527.0,,,
83,,,,,
84,672.0,538.0,,,
85,,,,,
86,672.0,538.0,,,
87,,,,,
88,675.0,544.0,,,
89,,,,,
90,676.0,566.0,,,
91,,,,,
92,676.0,566.0,,,
93,,,,,
94,680.0,576.0,,,
95,,,,,
96,688.0,594.0,,,
97,,,,,
98,663.0,609.0,,,
99,,,,,
100,598.0,621.0,,,
101,,,,,
102,589.0,633.0,,,
103,,,,,
104,537.0,649.0,,,
105,,,,,
106,536.0,649.0,,,
107,,,,,
108,536.0,649.0,,,
109,,,,,
110,536.0,649.0,,,
111,,,,,
112,536.0,649.0,,,
113,,,,,
114,536.0,649.0,,,
115,,,,,
116,1132.5,417.5,,,
117,,,,,
118,1132.5,417.5,,,
119,,,,,
120,1132.5,417.5,,,
121,,,,,
122,1132.5,417.5,,,
123,,,,,
124,1132.5,417.5,,,
125,,,,,
126,417.5,177.5,,,
127,,,,,
128,417.5,178.0,,,
129,,,,,
130,413.5,214.0,,,
131,,,,,
132,409.0,263.0,,,
133,,,,,
134,409.0,263.0,,,
135,,,,,
136,409.0,263.0,,,
137,,,,,
138,409.0,263.0,,,
139,,,,,
140,409.0,263.0,,,
141,,,,,
142,409.0,263.0,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
