frame,x,y,glove_height_peak_leg_lift,cap_height,glove_to_person_top
0,,,,,499.0
1,,,,,499.0
2,,,,,499.0
3,,,,,500.0
4,,,,,501.0
5,,,,,501.0
6,,,,,503.0
7,,,,,503.0
8,,,,,505.0
9,,,,,503.0
10,,,,,505.0
11,,,,,505.0
12,,,,,503.0
13,,,,,503.0
14,,,,,503.0
15,,,,,504.0
16,,,,,504.0
17,,,,,504.0
18,,,,,503.0
19,,,,,503.0
20,,,,,504.0
21,,,,,502.0
22,,,,,511.0
23,,,,,511.0
24,,,,,512.0
25,,,,,512.0
26,,,,,515.0
27,,,,,516.0
28,,,,,510.0
29,,,,,512.0
30,,,,,515.0
31,,,,,522.0
32,,,,,522.0
33,,,,,519.0
34,,,,,519.0
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,93.0
40,,,,,103.0
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,177.0
46,,,,,176.0
47,,,,,109.0
48,,,,,
49,,,,,69.0
50,,,,,69.0
51,,,,,45.0
52,,,,,45.0
53,,,,,54.0
54,,,,,54.0
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,138.0
60,,,,,138.0
61,,,,,172.0
62,,,,,172.0
63,,,,,206.0
64,,,,,206.0
65,,,,,189.0
66,,,,,189.0
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,96.0
78,,,,,96.0
79,,,,,
80,,,,,
81,,,,,227.0
82,,,,,261.0
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,719.0,1.0,,,
179,,,,,
180,719.0,1.0,,,
181,,,,,
182,719.0,1.0,,,
183,,,,,
184,719.0,1.0,,,
185,,,,,
186,719.0,1.0,,,
187,,,,,
188,719.0,1.0,,,
189,,,,,
190,719.0,1.0,,,
191,,,,,
192,719.0,1.0,,,
193,,,,,
194,719.0,1.0,,,
195,,,,,
196,719.0,1.0,,,
197,,,,,
198,719.0,1.0,,,
199,,,,,
200,719.0,1.0,,,
201,,,,,
202,719.0,1.0,,,
203,,,,,
204,719.0,1.0,,,
205,,,,,
206,719.0,1.0,,,
207,,,,,
208,719.0,1.0,,,
209,,,,,
210,719.0,1.0,,,
211,,,,,
212,719.0,1.0,,,
213,,,,,
214,719.0,1.0,,,
215,,,,,
216,719.0,1.0,,,
217,,,,,
218,719.0,1.0,,,
219,,,,,
220,719.0,1.0,,,
221,,,,,
222,719.0,1.0,,,
223,,,,,
224,719.0,1.0,,,
225,,,,,
226,719.0,1.0,,,
227,,,,,
228,719.0,1.0,,,
229,,,,,
230,719.0,1.0,,,
231,,,,,
232,719.0,1.0,,,
233,,,,,
234,719.0,1.0,,,
235,,,,,
236,719.0,1.0,,,
237,,,,,
238,719.0,1.0,,,
239,,,,,
240,719.0,1.0,,,
241,,,,,
