frame,x,y,glove_height_peak_leg_lift,cap_height,glove_to_person_top
0,,,,,500.0
1,,,,,500.0
2,,,,,501.0
3,,,,,501.0
4,,,,,500.0
5,,,,,500.0
6,,,,,501.0
7,,,,,501.0
8,,,,,500.0
9,,,,,500.0
10,,,,,500.0
11,,,,,501.0
12,,,,,501.0
13,,,,,501.0
14,,,,,501.0
15,,,,,501.0
16,,,,,501.0
17,,,,,501.0
18,,,,,501.0
19,,,,,500.0
20,,,,,500.0
21,,,,,500.0
22,,,,,499.0
23,,,,,500.0
24,,,,,500.0
25,,,,,500.0
26,,,,,499.0
27,,,,,499.0
28,,,,,499.0
29,,,,,499.0
30,,,,,499.0
31,,,,,499.0
32,,,,,499.0
33,,,,,499.0
34,,,,,499.0
35,,,,,499.0
36,,,,,499.0
37,,,,,499.0
38,,,,,499.0
39,,,,,499.0
40,,,,,496.0
41,,,,,496.0
42,,,,,498.0
43,,,,,498.0
44,,,,,498.0
45,,,,,498.0
46,,,,,498.0
47,,,,,498.0
48,,,,,498.0
49,,,,,498.0
50,,,,,498.0
51,,,,,499.0
52,,,,,499.0
53,,,,,499.0
54,,,,,499.0
55,,,,,499.0
56,,,,,499.0
57,,,,,499.0
58,,,,,499.0
59,,,,,500.0
60,,,,,500.0
61,,,,,499.0
62,,,,,499.0
63,,,,,498.0
64,,,,,498.0
65,,,,,496.0
66,,,,,496.0
67,,,,,488.0
68,,,,,488.0
69,,,,,493.0
70,,,,,487.0
71,,,,,487.0
72,,,,,491.0
73,,,,,491.0
74,,,,,494.0
75,,,,,494.0
76,,,,,489.0
77,,,,,485.0
78,,,,,486.0
79,,,,,492.0
80,,,,,492.0
81,,,,,146.0
82,,,,,146.0
83,,,,,
84,,,,,
85,,,,,81.0
86,,,,,82.0
87,,,,,
88,,,,,
89,,,,,251.0
90,,,,,251.0
91,,,,,169.0
92,,,,,169.0
93,,,,,135.0
94,,,,,135.0
95,,,,,106.0
96,,,,,106.0
97,,,,,102.0
98,,,,,102.0
99,,,,,112.0
100,,,,,112.0
101,,,,,121.0
102,,,,,147.0
103,,,,,147.0
104,,,,,177.0
105,,,,,178.0
106,,,,,216.0
107,,,,,216.0
108,,,,,240.0
109,,,,,239.0
110,,,,,
111,,,,,
112,,,,,121.0
113,,,,,121.0
114,,,,,
115,,,,,
116,,,,,244.0
117,,,,,98.0
118,,,,,239.0
119,,,,,239.0
120,,,,,219.0
121,,,,,
122,,,,,446.0
123,,,,,445.0
124,,,,,
125,,,,,183.0
126,,,,,331.0
127,,,,,281.0
128,,,,,282.0
129,,,,,275.0
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,483.5,154.0,,,
251,,,,,
252,500.5,168.0,,,
253,,,,,
254,500.5,168.0,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,,,,,
301,,,,,
302,,,,,
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
