frame,x,y
0,5,408
1,5,408
2,5,407
3,5,408
4,5,408
5,5,408
6,5,407
7,5,408
8,5,408
9,5,408
10,5,407
11,5,407
12,5,408
13,5,407
14,5,407
15,5,408
16,5,408
17,5,408
18,5,408
19,5,408
20,5,406
21,5,407
22,5,407
23,5,407
24,5,408
25,5,407
26,5,407
27,5,407
28,5,407
29,5,407
30,5,407
31,5,408
32,5,408
33,5,408
34,5,408
35,5,408
36,5,408
37,5,408
38,5,408
39,5,408
40,5,408
41,5,408
42,5,408
43,5,408
44,5,408
45,5,408
46,5,408
47,5,408
48,5,408
49,5,408
50,5,408
51,5,408
52,5,408
53,5,408
54,5,408
55,5,408
56,5,408
57,5,408
58,5,408
59,5,408
60,5,408
61,5,408
62,5,408
63,5,408
64,5,408
65,5,408
66,5,408
67,5,410
68,5,408
69,5,408
70,5,408
71,5,408
72,5,408
73,5,408
74,5,408
75,5,408
76,5,408
77,5,408
78,5,408
79,5,408
80,383,153
81,526,75
82,362,224
83,398,215
84,434,206
85,470,197
86,506,188
87,542,179
88,578,170
89,614,161
90,650,152
91,686,143
92,722,134
93,758,125
94,794,116
95,830,107
96,866,98
97,902,89
98,938,80
99,974,71
100,1010,62
101,1046,53
102,1082,44
103,1118,35
104,1154,26
105,1190,17
106,1226,8
107,1262,0
108,1298,0
109,1334,0
110,1370,0
111,1406,0
