frame,x,y
0,7.0,409.0
1,7.0,409.0
2,7.0,409.0
3,7.0,409.0
4,7.0,409.0
5,7.0,409.0
6,7.0,410.0
7,7.0,410.0
8,7.0,409.0
9,7.0,408.0
10,7.0,409.0
11,7.0,419.0
12,7.0,420.0
13,7.0,422.0
14,7.0,423.0
15,7.0,423.0
16,7.0,423.0
17,7.0,426.0
18,7.0,422.0
19,7.0,422.0
20,7.0,422.0
21,7.0,422.0
22,7.0,423.0
23,7.0,422.0
24,7.0,422.0
25,7.0,421.0
26,89.0,452.0
27,7.0,422.0
28,7.0,421.0
29,7.0,421.0
30,7.0,412.0
31,7.0,411.0
32,7.0,414.0
33,7.0,414.0
34,7.0,414.0
35,7.0,413.0
36,7.0,410.0
37,7.0,410.0
38,7.0,411.0
39,7.0,411.0
40,7.0,420.0
41,7.0,419.0
42,7.0,419.0
43,7.0,419.0
44,7.0,415.0
45,7.0,414.0
46,7.0,420.0
47,7.0,419.0
48,7.0,420.0
49,7.0,420.0
50,7.0,416.0
51,7.0,417.0
52,7.0,420.0
53,7.0,411.0
54,7.0,411.0
55,7.0,414.0
56,7.0,410.0
57,7.0,415.0
58,7.0,416.0
59,7.0,415.0
60,7.0,415.0
61,7.0,418.0
62,7.0,415.0
63,7.0,411.0
64,7.0,411.0
65,7.0,410.0
66,7.0,410.0
67,7.0,411.0
68,7.0,411.0
69,7.0,408.0
70,7.0,413.0
71,7.0,413.0
72,7.0,411.0
73,7.0,410.0
74,7.0,412.0
75,7.0,411.0
76,7.0,408.0
77,7.0,416.0
78,7.0,415.0
79,7.0,417.0
80,7.0,420.0
81,7.0,415.0
82,7.0,418.0
83,8.0,418.0
84,7.0,413.0
85,88.0,449.0
86,7.0,414.0
87,7.0,419.0
88,7.0,420.0
89,7.0,418.0
90,7.0,420.0
91,7.0,411.0
92,7.0,409.0
93,7.0,409.0
94,7.0,409.0
95,7.0,408.0
96,7.0,408.0
97,7.0,409.0
98,7.0,409.0
99,7.0,410.0
100,7.0,409.0
101,7.0,411.0
102,7.0,410.0
103,7.0,410.0
104,7.0,417.0
105,7.0,417.0
106,7.0,413.0
107,7.0,414.0
108,7.0,410.0
109,7.0,411.0
110,7.0,410.0
111,7.0,409.0
112,7.0,414.0
113,7.0,417.0
114,7.0,423.0
115,7.0,423.0
116,7.0,423.0
117,7.0,423.0
118,7.0,422.0
119,7.0,422.0
120,7.0,423.0
121,7.0,423.0
122,7.0,423.0
123,7.0,423.0
124,7.0,423.0
125,483.0,154.0
126,500.0,168.0
127,634.0,157.0
128,7.0,423.0
129,7.0,423.0
130,0.0,459.0
131,0.0,495.0
132,0.0,531.0
133,0.0,567.0
134,0.0,603.0
135,0.0,639.0
136,0.0,675.0
137,0.0,711.0
138,0.0,747.0
139,0.0,783.0
140,0.0,819.0
141,0.0,855.0
142,0.0,891.0
143,0.0,927.0
144,0.0,963.0
145,0.0,987.0
146,0.0,987.0
147,0.0,987.0
148,0.0,987.0
149,0.0,987.0
150,0.0,987.0
151,0.0,987.0
152,0.0,987.0
153,0.0,987.0
154,0.0,987.0
155,0.0,987.0
156,0.0,987.0
157,0.0,987.0
158,0.0,987.0
159,0.0,987.0
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
