frame,x,y,glove_height_peak_leg_lift,cap_height,glove_to_person_top
0,705.0,503.0,,,
1,,,,,
2,705.0,503.0,,,
3,,,,,
4,705.0,503.0,,,
5,,,,,
6,705.0,503.0,,,
7,,,,,406.0
8,705.0,503.0,,,406.0
9,,,,,412.0
10,705.0,503.0,,,412.0
11,,,,,413.0
12,705.0,503.0,,,413.0
13,,,,,414.0
14,704.0,504.0,,,418.0
15,,,,,421.0
16,704.0,504.0,,,423.0
17,,,,,425.0
18,705.0,504.0,,,425.0
19,,,,,425.0
20,705.0,504.0,,,425.0
21,,,,,425.0
22,706.0,504.0,,,426.0
23,,,,,426.0
24,706.0,504.0,,,427.0
25,,,,,428.0
26,706.0,504.0,,,426.0
27,,,,,426.0
28,708.0,503.0,,,426.0
29,,,,,427.0
30,710.0,504.0,,,427.0
31,,,,,423.0
32,711.0,504.0,,,425.0
33,,,,,424.0
34,712.0,504.0,,,422.0
35,,,,,425.0
36,712.0,504.0,,,421.0
37,,,,,421.0
38,713.0,504.0,,,417.0
39,,,,,417.0
40,714.0,504.0,,,418.0
41,,,,,422.0
42,714.0,504.0,,,425.0
43,,,,,428.0
44,714.0,505.0,,,430.0
45,,,,,431.0
46,714.0,505.0,,,432.0
47,,,,,434.0
48,714.0,505.0,,,435.0
49,,,,,
50,713.0,505.0,,,
51,,,,,
52,713.0,505.0,,,
53,,,,,
54,713.0,505.0,,,
55,,,,,
56,713.0,505.0,,,
57,,,,,
58,713.0,505.0,,,
59,,,,,
60,712.0,506.0,,,206.0
61,,,,,178.0
62,712.0,507.0,,,
63,,,,,
64,713.0,508.0,,,
65,,,,,
66,718.0,509.0,,,
67,,,,,88.0
68,718.0,510.0,,,92.0
69,,,,,107.0
70,723.0,510.0,,,108.0
71,,,,,120.0
72,735.0,515.0,,,132.0
73,,,,,148.0
74,735.0,515.0,,,147.0
75,,,,,169.0
76,742.0,517.0,,,180.0
77,,,,,192.0
78,742.0,517.0,,,198.0
79,,,,,202.0
80,763.0,521.0,,,223.0
81,,,,,
82,772.0,521.0,,,
83,,,,,
84,781.0,522.0,,,76.0
85,,,,,
86,790.0,522.0,,,
87,,,,,
88,797.0,522.0,,,
89,,,,,
90,803.0,522.0,,,455.0
91,,,,,455.0
92,809.0,523.0,,,
93,,,,,713.0
94,813.0,522.0,,,
95,,,,,
96,815.0,523.0,,,
97,,,,,
98,814.0,523.0,,,
99,,,,,
100,814.0,523.0,,,
101,,,,,
102,814.0,523.0,,,
103,,,,,
104,814.0,523.0,,,
105,,,,,
106,814.0,523.0,,,
107,,,,,
108,814.0,523.0,,,
109,,,,,
110,,,,,
111,,,,,
112,802.0,731.0,,,
113,,,,,
114,801.0,672.0,,,
115,,,,,
116,768.0,678.0,,,
117,,,,,
118,768.0,678.0,,,
119,,,,,
120,768.0,678.0,,,
121,,,,,
122,768.0,678.0,,,
123,,,,,
124,768.0,678.0,,,
125,,,,,
126,768.0,678.0,,,
127,,,,,
128,,,,,
129,,,,,
130,640.0,512.0,,,
131,,,,,
132,642.0,512.0,,,
133,,,,,
134,651.0,512.0,,,
135,,,,,
136,659.0,514.0,,,
137,,,,,
138,672.0,520.0,,,
139,,,,,
140,672.0,520.0,,,
141,,,,,
142,672.0,524.0,,,
143,,,,,
144,664.0,532.0,,,
145,,,,,
146,671.0,540.0,,,
147,,,,,
148,671.0,540.0,,,
149,,,,,
150,665.0,562.0,,,
151,,,,,
152,652.0,574.0,,,
153,,,,,
154,646.0,587.0,,,
155,,,,,
156,642.0,599.0,,,
157,,,,,
158,643.0,611.0,,,
159,,,,,
160,619.0,621.0,,,
161,,,,,
162,619.0,621.0,,,
163,,,,,
164,619.0,621.0,,,
165,,,,,
166,619.0,621.0,,,
167,,,,,
168,679.0,649.0,,,
169,,,,,
170,736.0,649.0,,,
171,,,,,
172,739.0,649.0,,,
173,,,,,
174,739.0,649.0,,,
175,,,,,
176,1055.0,389.5,,,
177,,,,,
178,1017.0,392.0,,,
179,,,,,
180,1017.0,392.0,,,
181,,,,,
182,1017.0,392.0,,,
183,,,,,
184,1017.0,392.0,,,
185,,,,,
186,466.0,145.0,,,
187,,,,,
188,466.0,145.0,,,
189,,,,,
190,466.0,145.0,,,
191,,,,,
192,466.0,145.0,,,
193,,,,,
194,466.0,145.0,,,
195,,,,,
196,466.0,145.0,,,
197,,,,,
198,,,,,
199,,,,,
200,720.0,1.0,,,
201,,,,,
202,720.0,1.0,,,
203,,,,,
204,720.0,1.0,,,
205,,,,,
206,720.0,1.0,,,
207,,,,,
208,720.0,1.0,,,
209,,,,,
210,720.0,1.0,,,
211,,,,,
212,720.0,1.0,,,
213,,,,,
214,720.0,1.0,,,
215,,,,,
216,720.0,1.0,,,
217,,,,,
218,720.0,1.0,,,
219,,,,,
220,720.0,1.0,,,
221,,,,,
222,720.0,1.0,,,
223,,,,,
224,720.0,1.0,,,
225,,,,,
226,720.0,1.0,,,
227,,,,,
228,720.0,1.0,,,
229,,,,,
230,720.0,1.0,,,
231,,,,,
232,720.0,1.0,,,
233,,,,,
234,720.0,1.0,,,
235,,,,,
236,720.0,1.0,,,
237,,,,,
238,720.0,1.0,,,
239,,,,,
240,720.0,1.0,,,
241,,,,,
242,720.0,1.0,,,
243,,,,,
244,720.0,1.0,,,
245,,,,,
246,720.0,1.0,,,
247,,,,,
248,720.0,1.0,,,
249,,,,,
250,720.0,1.0,,,
251,,,,,
