frame,x,y,glove_height_peak_leg_lift,cap_height,glove_to_person_top
0,695.0,507.0,,,501.0
1,,,,,501.0
2,695.0,507.0,,,501.0
3,,,,,501.0
4,695.0,507.0,,,
5,,,,,
6,695.0,507.0,,,501.0
7,,,,,501.0
8,695.0,507.0,,,501.0
9,,,,,
10,695.0,507.0,,,501.0
11,,,,,501.0
12,695.0,507.0,,,501.0
13,,,,,
14,695.0,507.0,,,502.0
15,,,,,502.0
16,695.0,507.0,,,502.0
17,,,,,502.0
18,695.0,507.0,,,502.0
19,,,,,502.0
20,695.0,507.0,,,502.0
21,,,,,502.0
22,695.0,507.0,,,502.0
23,,,,,
24,695.0,507.0,,,
25,,,,,
26,695.0,507.0,,,
27,,,,,
28,695.0,507.0,,,
29,,,,,
30,695.0,507.0,,,
31,,,,,
32,695.0,507.0,,,
33,,,,,500.0
34,695.0,507.0,,,498.0
35,,,,,502.0
36,695.0,507.0,,,504.0
37,,,,,508.0
38,695.0,507.0,,,508.0
39,,,,,510.0
40,695.0,507.0,,,512.0
41,,,,,514.0
42,695.0,507.0,,,515.0
43,,,,,515.0
44,695.0,507.0,,,515.0
45,,,,,516.0
46,695.0,507.0,,,516.0
47,,,,,517.0
48,695.0,507.0,,,517.0
49,,,,,517.0
50,695.0,507.0,,,517.0
51,,,,,516.0
52,695.0,507.0,,,516.0
53,,,,,515.0
54,695.0,507.0,,,515.0
55,,,,,515.0
56,695.0,507.0,,,515.0
57,,,,,515.0
58,695.0,507.0,,,515.0
59,,,,,513.0
60,695.0,507.0,,,513.0
61,,,,,512.0
62,695.0,507.0,,,513.0
63,,,,,512.0
64,695.0,507.0,,,512.0
65,,,,,510.0
66,695.0,507.0,,,509.0
67,,,,,509.0
68,695.0,507.0,,,510.0
69,,,,,509.0
70,696.0,507.0,,,509.0
71,,,,,509.0
72,696.0,507.0,,,509.0
73,,,,,509.0
74,697.0,507.0,,,509.0
75,,,,,509.0
76,697.0,507.0,,,509.0
77,,,,,509.0
78,698.0,507.0,,,510.0
79,,,,,511.0
80,698.0,507.0,,,510.0
81,,,,,511.0
82,699.0,507.0,,,511.0
83,,,,,511.0
84,699.0,508.0,,,508.0
85,,,,,510.0
86,699.0,508.0,,,510.0
87,,,,,507.0
88,699.0,508.0,,,507.0
89,,,,,508.0
90,700.0,508.0,,,508.0
91,,,,,508.0
92,701.0,508.0,,,508.0
93,,,,,508.0
94,702.0,508.0,,,508.0
95,,,,,507.0
96,702.0,508.0,,,507.0
97,,,,,507.0
98,704.0,508.0,,,507.0
99,,,,,505.0
100,704.0,508.0,,,505.0
101,,,,,504.0
102,705.0,508.0,,,503.0
103,,,,,503.0
104,705.0,508.0,,,502.0
105,,,,,502.0
106,705.0,508.0,,,502.0
107,,,,,502.0
108,705.0,508.0,,,502.0
109,,,,,502.0
110,708.0,508.0,,,502.0
111,,,,,501.0
112,708.0,508.0,,,499.0
113,,,,,497.0
114,709.0,508.0,,,496.0
115,,,,,497.0
116,709.0,508.0,,,498.0
117,,,,,497.0
118,710.0,509.0,,,494.0
119,,,,,494.0
120,710.0,509.0,,,500.0
121,,,,,501.0
122,712.0,509.0,,,501.0
123,,,,,500.0
124,711.0,508.0,,,499.0
125,,,,,499.0
126,712.0,508.0,,,499.0
127,,,,,497.0
128,712.0,508.0,,,496.0
129,,,,,496.0
130,713.0,508.0,,,493.0
131,,,,,487.0
132,714.0,508.0,,,
133,,,,,
134,714.0,508.0,,,
135,,,,,
136,714.0,508.0,,,
137,,,,,
138,713.0,508.0,,,
139,,,,,
140,713.0,508.0,,,
141,,,,,
142,713.0,508.0,,,
143,,,,,174.0
144,713.0,508.0,,,172.0
145,,,,,
146,712.0,508.0,,,
147,,,,,83.0
148,712.0,508.0,,,83.0
149,,,,,75.0
150,712.0,508.0,,,80.0
151,,,,,97.0
152,712.0,508.0,,,102.0
153,,,,,111.0
154,712.0,508.0,,,119.0
155,,,,,119.0
156,711.0,508.0,,,132.0
157,,,,,164.0
158,710.0,508.0,,,164.0
159,,,,,207.0
160,710.0,508.0,,,206.0
161,,,,,
162,709.0,508.0,,,
163,,,,,
164,709.0,508.0,,,
165,,,,,
166,709.0,508.0,,,
167,,,,,125.0
168,709.0,508.0,,,
169,,,,,
170,709.0,508.0,,,
171,,,,,19.0
172,709.0,508.0,,,22.0
173,,,,,
174,709.0,508.0,,,
175,,,,,
