frame,x,y
0,7.0,421.0
1,7.0,421.0
2,7.0,421.0
3,7.0,421.0
4,7.0,421.0
5,7.0,421.0
6,7.0,421.0
7,7.0,421.0
8,7.0,421.0
9,7.0,421.0
10,7.0,421.0
11,7.0,421.0
12,7.0,421.0
13,7.0,422.0
14,7.0,421.0
15,7.0,421.0
16,7.0,421.0
17,7.0,421.0
18,7.0,421.0
19,7.0,421.0
20,7.0,422.0
21,7.0,422.0
22,7.0,422.0
23,7.0,422.0
24,7.0,422.0
25,7.0,422.0
26,7.0,422.0
27,7.0,422.0
28,7.0,422.0
29,7.0,422.0
30,7.0,422.0
31,7.0,422.0
32,7.0,422.0
33,7.0,422.0
34,7.0,422.0
35,7.0,422.0
36,7.0,422.0
37,7.0,422.0
38,7.0,422.0
39,7.0,421.0
40,7.0,421.0
41,7.0,422.0
42,7.0,422.0
43,7.0,422.0
44,7.0,421.0
45,7.0,421.0
46,7.0,421.0
47,7.0,421.0
48,7.0,421.0
49,7.0,421.0
50,7.0,422.0
51,7.0,422.0
52,7.0,422.0
53,7.0,422.0
54,7.0,422.0
55,7.0,422.0
56,7.0,422.0
57,7.0,422.0
58,7.0,422.0
59,7.0,422.0
60,7.0,422.0
61,7.0,422.0
62,7.0,421.0
63,7.0,421.0
64,7.0,421.0
65,7.0,421.0
66,7.0,421.0
67,7.0,421.0
68,7.0,421.0
69,7.0,421.0
70,7.0,421.0
71,7.0,421.0
72,7.0,420.0
73,7.0,420.0
74,7.0,419.0
75,7.0,420.0
76,7.0,421.0
77,7.0,420.0
78,7.0,420.0
79,7.0,420.0
80,7.0,419.0
81,7.0,420.0
82,7.0,417.0
83,7.0,418.0
84,7.0,417.0
85,7.0,417.0
86,7.0,415.0
87,7.0,415.0
88,7.0,415.0
89,7.0,412.0
90,7.0,415.0
91,7.0,414.0
92,7.0,416.0
93,7.0,415.0
94,7.0,419.0
95,76.0,367.0
96,7.0,414.0
97,82.0,445.0
98,7.0,408.0
99,8.0,405.0
100,1.0,402.0
101,7.0,422.0
102,7.0,422.0
103,7.0,413.0
104,7.0,412.0
105,7.0,412.0
106,7.0,415.0
107,7.0,415.0
108,7.0,409.0
109,7.0,409.0
110,7.0,410.0
111,7.0,411.0
112,7.0,409.0
113,7.0,407.0
114,7.0,407.0
115,7.0,406.0
116,7.0,405.0
117,7.0,404.0
118,7.0,403.0
119,7.0,402.0
120,7.0,401.0
121,7.0,400.0
122,7.0,399.0
123,7.0,398.0
124,7.0,397.0
125,7.0,396.0
126,7.0,395.0
127,7.0,394.0
128,7.0,393.0
129,7.0,392.0
130,7.0,391.0
131,7.0,390.0
132,7.0,389.0
133,7.0,388.0
134,7.0,387.0
135,7.0,386.0
136,7.0,385.0
137,7.0,384.0
138,7.0,383.0
139,7.0,382.0
140,7.0,381.0
141,7.0,380.0
142,7.0,379.0
143,7.0,378.0
144,7.0,377.0
145,,
146,,
147,,
148,,
149,,
