frame,x,y,glove_height_peak_leg_lift,cap_height,glove_to_person_top
0,,,,,496.0
1,,,,,502.0
2,,,,,500.0
3,,,,,500.0
4,,,,,497.0
5,,,,,497.0
6,,,,,487.0
7,,,,,489.0
8,,,,,499.0
9,,,,,502.0
10,,,,,498.0
11,,,,,499.0
12,,,,,494.0
13,,,,,496.0
14,,,,,498.0
15,,,,,481.0
16,,,,,479.0
17,,,,,476.0
18,,,,,476.0
19,,,,,485.0
20,,,,,485.0
21,,,,,488.0
22,,,,,490.0
23,,,,,487.0
24,,,,,486.0
25,,,,,492.0
26,,,,,491.0
27,,,,,498.0
28,,,,,498.0
29,,,,,493.0
30,,,,,493.0
31,,,,,492.0
32,,,,,493.0
33,,,,,492.0
34,,,,,495.0
35,,,,,492.0
36,,,,,491.0
37,,,,,491.0
38,,,,,490.0
39,,,,,490.0
40,,,,,487.0
41,,,,,491.0
42,,,,,486.0
43,,,,,486.0
44,,,,,485.0
45,,,,,486.0
46,,,,,487.0
47,,,,,486.0
48,,,,,486.0
49,,,,,489.0
50,,,,,483.0
51,,,,,483.0
52,,,,,481.0
53,,,,,481.0
54,,,,,492.0
55,,,,,492.0
56,,,,,489.0
57,,,,,489.0
58,,,,,488.0
59,,,,,488.0
60,,,,,486.0
61,,,,,486.0
62,,,,,485.0
63,,,,,485.0
64,,,,,484.0
65,,,,,484.0
66,,,,,484.0
67,,,,,485.0
68,,,,,485.0
69,,,,,485.0
70,,,,,483.0
71,,,,,484.0
72,,,,,486.0
73,,,,,487.0
74,,,,,488.0
75,,,,,487.0
76,,,,,487.0
77,,,,,214.0
78,,,,,221.0
79,,,,,232.0
80,,,,,232.0
81,,,,,236.0
82,,,,,235.0
83,,,,,416.0
84,,,,,416.0
85,,,,,289.0
86,,,,,289.0
87,,,,,204.0
88,,,,,204.0
89,,,,,139.0
90,,,,,139.0
91,,,,,92.0
92,,,,,92.0
93,,,,,65.0
94,,,,,65.0
95,,,,,68.0
96,,,,,68.0
97,,,,,85.0
98,,,,,85.0
99,,,,,97.0
100,,,,,128.0
101,,,,,128.0
102,,,,,158.0
103,,,,,158.0
104,,,,,172.0
105,,,,,203.0
106,,,,,204.0
107,,,,,216.0
108,,,,,217.0
109,,,,,
110,,,,,238.0
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,378.0
118,,,,,379.0
119,,,,,239.0
120,,,,,239.0
121,,,,,239.0
122,,,,,239.0
123,,,,,234.0
124,,,,,234.0
125,,,,,246.0
126,,,,,247.0
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,896.0,316.0,,,
267,,,,,
268,921.0,269.0,,,
269,,,,,
270,928.0,251.0,,,
271,,,,,
272,947.0,220.0,,,
273,,,,,
274,962.0,185.0,,,
275,,,,,
276,962.0,185.0,,,
277,,,,,
278,963.0,167.0,,,
279,,,,,
280,963.0,167.0,,,
281,,,,,
282,963.0,167.0,,,
283,,,,,
284,963.0,167.0,,,
285,,,,,
286,963.0,167.0,,,
287,,,,,
288,963.0,167.0,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,,,,,
301,,,,,
302,,,,,
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
