frame,x,y
0,7.0,420.0
1,7.0,422.0
2,7.0,421.0
3,7.0,422.0
4,7.0,419.0
5,7.0,417.0
6,7.0,416.0
7,7.0,418.0
8,7.0,424.0
9,7.0,424.0
10,7.0,420.0
11,7.0,423.0
12,7.0,425.0
13,7.0,425.0
14,7.0,426.0
15,7.0,426.0
16,7.0,426.0
17,7.0,426.0
18,7.0,426.0
19,7.0,426.0
20,7.0,424.0
21,7.0,425.0
22,7.0,425.0
23,7.0,425.0
24,7.0,423.0
25,7.0,423.0
26,7.0,426.0
27,7.0,425.0
28,7.0,421.0
29,7.0,414.0
30,8.0,410.0
31,7.0,416.0
32,8.0,410.0
33,8.0,409.0
34,7.0,409.0
35,8.0,409.0
36,8.0,409.0
37,8.0,409.0
38,8.0,409.0
39,8.0,410.0
40,8.0,410.0
41,8.0,410.0
42,8.0,410.0
43,8.0,410.0
44,8.0,410.0
45,8.0,410.0
46,8.0,410.0
47,8.0,410.0
48,8.0,410.0
49,8.0,410.0
50,8.0,410.0
51,8.0,410.0
52,8.0,410.0
53,8.0,410.0
54,8.0,410.0
55,7.0,414.0
56,7.0,414.0
57,7.0,413.0
58,7.0,414.0
59,7.0,421.0
60,7.0,421.0
61,7.0,423.0
62,7.0,422.0
63,7.0,424.0
64,7.0,425.0
65,7.0,417.0
66,7.0,418.0
67,7.0,412.0
68,7.0,412.0
69,7.0,418.0
70,7.0,417.0
71,7.0,425.0
72,7.0,425.0
73,7.0,426.0
74,7.0,426.0
75,7.0,426.0
76,7.0,426.0
77,7.0,425.0
78,7.0,425.0
79,7.0,425.0
80,7.0,425.0
81,7.0,425.0
82,7.0,425.0
83,7.0,425.0
84,7.0,425.0
85,7.0,425.0
86,7.0,425.0
87,7.0,425.0
88,7.0,425.0
89,7.0,425.0
90,7.0,425.0
91,7.0,425.0
92,7.0,425.0
93,7.0,425.0
94,7.0,425.0
95,7.0,425.0
96,7.0,425.0
97,7.0,425.0
98,7.0,425.0
99,7.0,425.0
100,7.0,425.0
101,7.0,425.0
102,7.0,425.0
103,7.0,425.0
104,7.0,425.0
105,7.0,425.0
106,7.0,425.0
107,7.0,425.0
108,7.0,425.0
109,7.0,425.0
110,7.0,425.0
111,7.0,425.0
112,7.0,425.0
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
